Pk_Id,Fk_LocalizationLevel1Id,Fk_LocalizationLevel2Id,Fk_LocalizationLevel3Id,Name,X,Y,Z,SortingId,Fk_StatusId,polygonVertex
7500101,1,75,7500007,Norte - Centro,-73.106826000000000,7.114524000000000,15,120,2,NULL
7500102,1,75,7500007,Occidente - Sur,-73.101425000000000,7.079429000000000,15,110,2,NULL
7500103,1,75,7500007,Oriente,-73.106826000000000,7.114524000000000,15,160,2,NULL
7500104,1,75,7500007,Occidental,-73.133662000000000,7.117188000000000,15,125,4,NULL
7500105,1,75,7500007,García Rovira,-73.129351000000000,7.107935000000000,15,40,4,NULL
7500106,1,75,7500007,La Concordia,-73.113920000000000,7.114690000000000,15,60,4,NULL
7500107,1,75,7500007,La Ciudadela,-73.117056000000000,7.109447000000000,15,70,4,NULL
7500108,1,75,7500007,Sur Oriental,-73.115727000000000,7.099893000000000,15,150,4,NULL
7500109,1,75,7500007,La Pedregosa,-73.104978000000000,7.090736000000000,15,80,4,NULL
7500110,1,75,7500007,Provenza,-73.101425000000000,7.079429000000000,15,130,4,NULL
7500111,1,75,7500007,Sur,-73.119937000000000,7.085850000000000,15,140,4,NULL
7500112,1,75,7500007,Cabecera del Llano,-73.106826000000000,7.114524000000000,15,30,4,NULL
7500113,1,75,7500007,Centro Oriental,-73.111093000000000,7.125512000000000,15,20,4,NULL
7500114,1,75,7500007,Morrorico,-73.103058000000000,7.132005000000000,15,90,4,NULL
7500115,1,75,7500007,Centro,-73.118476000000000,7.122153000000000,15,10,4,NULL
7500116,1,75,7500007,Lagos del Cacique,-73.098191000000000,7.099425000000000,15,50,4,NULL
7500117,1,75,7500007,Mutis,-73.127467000000000,7.100609000000000,15,100,4,NULL
